name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Hotel Cram - HB-004231,C Aribau,54,l'Antiga Esquerra de l'Eixample,Eixample,932167700,429769.0985923795,4582178.889793699
Hotel Catalonia Gran Via - HB-004524,G.V. Corts Catalanes,550,Sant Antoni,Eixample,932360000,429799.8934059467,4581637.798080351
Hotel Olivia Plaza - HB-004389,Pl Catalunya,19,el Barri Gòtic,Ciutat Vella,933158700,430689.7426865301,4581970.25701953
Hotel Gran Derby Suite - HB-003751,C Loreto,28,les Corts,Les Corts,934452544,428289.1379279796,4582412.595202701
Hotel NH Collection Constanza - HB-004287,C Deu i Mata,69,les Corts,Les Corts,932811500,427790.54379951226,4582293.766256012
Hotel Àmbit Barcelona - HB-004669,C Roger de Llúria,17,la Dreta de l'Eixample,Eixample,937075150,430757.2559265167,4582474.306115045
Hotel Ibis Meridiana - HB-004159,Pg Andreu Nin,9,Porta,Nou Barris,932768310,431628.6784524923,4587419.264081522
We Boutique Hotel - HB-004623,Rda Sant Pere,70,la Dreta de l'Eixample,Eixample,932503991,431357.9160824928,4582503.740950323
Hotel Cortes - HB-000319,C Santa Anna,25,el Barri Gòtic,Ciutat Vella,933179112,430743.0721854834,4581885.921853444
Hotel Moderno - HB-000041,C Hospital,11,el Raval,Ciutat Vella,933014224,430826.50947616185,4581390.90370159
Hotel Gaudí - HB-001927,C Nou de la Rambla,12,el Raval,Ciutat Vella,933179032,430932.62649280543,4581155.292022967
Hotel Wilson Boutique- HB-002460,Av Diagonal,568,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932092511,428943.2704696086,4582888.917693671
Hotel Zenit Borrell - HB-004214,C Comte Borrell,208,la Nova Esquerra de l'Eixample,Eixample,934525566,429052.8616015624,4581954.786830965
Hotel Petit Palace Boqueria Garden - HB-004310,C Boqueria,10,el Barri Gòtic,Ciutat Vella,933020753,430930.30545916635,4581429.060350402
Hotel Mercure Barcelona Condor - HB-003342,Via Augusta,127,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932094511,428549.5211629769,4583515.7564961305
Hotel Petit Palace Museum - HB-004308,C Diputació,250,la Dreta de l'Eixample,Eixample,933040087,430210.6302819627,4582268.822007603
Hotel Ciutat de Barcelona - HB-004456,C Princesa,33,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932697475,431528.05054738524,4581921.558665565
Hotel Mesón de Castilla Atiram - HB-000042,C Valldonzella,5,el Raval,Ciutat Vella,933182182,430313.2123812967,4581803.27457165
Hotel Golden Tulip - HB-004757,C Àvila,135,el Parc i la Llacuna del Poblenou,Sant Martí,934 833 876,432374.0490060076,4583500.952426933
Hotel Arya by Ona Hotels - HB-004761,C Sants,383,Sants - Badal,Sants-Montjuïc,931317500,426811.44063693937,4580819.001438415
Hotel Eurostars Monumental - HB-004478,C Consell de Cent,498,el Fort Pienc,Eixample,932320288,431336.8650719029,4583558.379657815
Expo Hotel Barcelona - HB-003580,C Mallorca,1,Hostafrancs,Sants-Montjuïc,936003020,428334.7077414836,4581208.806959857
Hotel Serhs Carlit - HB-004160,C Diputació,383,la Dreta de l'Eixample,Eixample,935052600,431106.25639086554,4583175.701343641
Best Western Plus Hotel Alfa Aeropuerto - HB-003859,C K Zona Franca,2,la Marina del Prat Vermell,Sants-Montjuïc,933362564,425783.6857818414,4575604.465157515
Hotel Turín - HB-002532,C Pintor Fortuny,9,el Raval,Ciutat Vella,933024812,430616.1014749212,4581618.515437034
Gallery Hotel - HB-003915,C Rosselló,249,la Dreta de l'Eixample,Eixample,934159911,429722.17988837167,4582945.277306637
Hotel-Apartament República - HB-004493,C Pujades,120,el Poblenou,Sant Martí,934864390,432778.214131114,4583240.039052524
Hotel NH Les Corts - HB-003666,Trav Corts,292,les Corts,Les Corts,933220811,427805.680685848,4582137.812780968
Hotel Onix Liceo - HB-004333,C Nou de la Rambla,36,el Raval,Ciutat Vella,934816441,430853.9452781591,4581056.44997168
Hotel  Negresco Princess - HB-004699,C Roger de Llúria,16,la Dreta de l'Eixample,Eixample,932150052,430830.2332260547,4582431.360548998
Hotel Boutique H10 Catalunya Plaza - HB-003965,Pl Catalunya,7,la Dreta de l'Eixample,Eixample,933177171,430486.6446434794,4582054.1351593295
Hotel Coronado - HB-003443,C Nou de la Rambla,134,el Poble-sec,Sants-Montjuïc,934423448,430443.8093726631,4580541.230917041
Hotel Guitart Grand Passage - HB-003896,C Muntaner,212,l'Antiga Esquerra de l'Eixample,Eixample,932010306,428972.22520632227,4582803.1845361395
Aparthotel Atenea Barcelona - HB-003991,C Joan Güell,207,les Corts,Les Corts,934906640,427218.99341767526,4582003.199968725
Hotel Denit - HB-004393,C Estruc,24,el Barri Gòtic,Ciutat Vella,935454000,430821.85738522245,4582053.153237668
Hotel Colonial Barcelona - HB-004377,Via Laietana,3,el Barri Gòtic,Ciutat Vella,933192252,431493.8169596208,4581531.365466574
Hotel Barcelona House - HB-004499,C Escudellers,19,el Barri Gòtic,Ciutat Vella,933437167,431111.54674220236,4581208.596539184
Hotel Catalonia Avinyó - HB-004430,C Lleona,12,el Barri Gòtic,Ciutat Vella,932702170,431123.37858856004,4581397.133701398
Hotel Casa Maca Guest House - HB-004641,C Bruc,146,la Dreta de l'Eixample,Eixample,644200680,430261.0455980112,4583204.502889442
Euro Hotel Barcelona Diagonal Port - HB-004195,Carrer de Lope de Vega,4,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,932302000,433865.9965020309,4583539.919341892
Hotel Eurostars Ramblas - HB-004555,C la Rambla,22,el Barri Gòtic,Ciutat Vella,932703696,431115.8447306624,4581060.865982041
Hotel DO: Plaça Reial - HB-004530,Pl Reial,1,el Barri Gòtic,Ciutat Vella,934 813 666,431007.16674329614,4581275.90386094
